stn_nm,stn_nm_chc,stn_nm_eng,stn_nm_chn,stn_nm_jpn
양재(서초구청),良 才(瑞草區廳),Yangjae (Seocho-gu Office),良才(瑞草区厅),ヤンジェ
매봉,-,Maebong,梅峰,メボン
도곡,道 谷,Dogok,道谷,トゴク
대치,大 峙,Daechi,大峙,テチ
학여울,鶴 여 울,Hangnyeoul,鹤滩,ハンニョウル 
대청,-,Daecheong,大厅,テチョン
일원,逸 院,Irwon,逸院,イルォン
수서,水 西,Suseo,水西,スソ
가락시장,可樂市長,Garak Market,可乐市场,カラク・シジャン
경찰병원,警察病院,National Police Hospital,警察医院,キョンチャル・ピョンウォン
오금,梧 琴,Ogeum,梧琴,オグム
당고개,-,Danggogae,堂岭,タンゴゲ
상계,上 溪,Sanggye,上溪,サンゲ
노원,蘆 原,Nowon,芦原,ノウォン
창동,倉 洞,Changdong,仓洞,チャンドン
쌍문,雙 門,Ssangmun,双门,サンムン
수유(강북구청),水 踰(江北區廳),Suyu (Gangbuk-gu Office),水逾(江北区厅),スユ
미아(서울사이버대학),彌 阿(서울사이버大學),Mia (Seoul Cyber Univ.),弥阿(首尔网络大学),ミア
미아사거리 ,彌阿사거리,Miasageori ,弥阿十字路口,ミアサゴリ
길음,吉 音,Gireum,吉音,キルム
성신여대입구(돈암),誠信女大入口(敦岩),Sungshin Women's Univ. (Donam),诚信女子大学(敦岩),ソンシンヨデイック
한성대입구(삼선교),漢城大入口(三仙橋),Hansung Univ. (Samseongyo),汉城大学(三仙桥),ハンソンデイック
혜화,惠 化,Hyehwa,惠化,ヘファ
동대문,東 大 門,Dongdaemun,东大门,トンデムン
동대문역사문화공원(DDP),東大門歷史文化公園(DDP),Dongdaemun History & Culture Park(DDP),东大门历史文化公园(DDP),トンデムンヨクサムンファゴンウォン(DDP)
충무로,忠 武 路,Chungmuro,忠武路,チュンムロ
명동,明 洞,Myeongdong,明洞,ミョンドン
회현(남대문시장),會 賢(南大門市場),Hoehyeon (Namdaemun Market),会贤(南大门市场),フェヒョン
서울역,-,Seoul Station,首尔站,ソウルヨク
숙대입구(갈월),淑大入口(葛月),Sookmyung Women's Univ. (Garwol),淑明女子大学(葛月),スクテイック
삼각지,三 角 地,Samgakji,三角地,サムガクチ
신용산,新 龍 山,Sinyongsan,新龙山,シニョンサン
이촌(국립중앙박물관),二 村(國立中央博物館),Ichon (National Museum of Korea),二村(国立中央博物馆),イチョン
동작(현충원),銅 雀 (顯忠院),Dongjak (Seoul National Cemetery),铜雀(显忠院),トンジャク
총신대입구(이수),總神大入口(梨水),Chongshin Univ. (Isu),总神大学(梨水),チョンシンデイック
사당,舍 堂,Sadang,舍堂,サダン
남태령,南 泰 嶺,Namtaeryeong,南泰岭,ナムテリョン
방화,傍花,Banghwa,傍花,パンファ
개화산,開花山,Gaehwasan,开花山,ケファサン
김포공항,金浦空港,Gimpo Int'l Airport,金浦机场,キンポゴンハン
송정,松亭,Songjeong,松亭,ソンジョン
마곡,麻谷,Magok,麻谷,マゴク
발산,鉢山,Balsan,钵山,パルサン
우장산,雨裝山,Ujangsan,雨装山,ウジャンサン
화곡,禾谷,Hwagok,禾谷,ファゴク
까치산,까치山,Kkachisan,喜鹊山,カチサン
신정(은행정),新亭(銀杏亭),Sinjeong(Eunhaengjeong),新亭(银杏亭),シンジョン
목동,木洞,Mok-dong,木洞,モクトン
오목교(목동운동장앞),梧木橋(木洞運動場앞),Omokgyo(Mokdong Stadium),梧木桥(木洞运动场),オモッキョ
양평,楊坪,Yangpyeong,杨坪,ヤンピョン
영등포구청,永登浦區廳,Yeongdeungpo-gu Office,永登浦区厅,ヨンドゥンポグチョン
영등포시장,永登浦市場,Yeongdeungpo Market,永登浦市场,ヨンドゥンポシジャン
신길,新吉,Singil,新吉,シンギル
여의도,汝矣島,Yeouido,汝矣岛,ヨイド
여의나루,여의나루,Yeouinaru,汝矣渡口,ヨイナル
마포,麻浦,Mapo,麻浦,マポ
공덕,孔德,Gongdeok,孔德,コンドク
애오개,애오개,Aeogae,儿岭,エオゲ
충정로(경기대입구),忠正路(京畿大入口),Chungjeongno(Kyonggi Univ.),忠正路(京畿大学),チュンジョンノ
서대문,西大門,Seodaemun,西大门,ソデムン
광화문(세종문화회관),光化門(世宗文化會館),Gwanghwamun(Sejong Center for the Performing Arts),光化门(世宗文化会馆),クァンファムン
종로3가(탑골공원),鐘路3街(탑골공원),Jongno 3(sam)ga(Tapgol Park),钟路三街(塔谷公园),チョンノサムガ
을지로4가,乙支路4街,Euljiro 4(sa)ga,乙支路四街,ウルチロサガ
동대문역사문화공원(DDP),東大門歷史文化公園(DDP),Dongdaemun History & Culture Park(DDP),东大门历史文化公园(DDP),トンデムンヨクサムンファゴンウォン(DDP)
청구,靑丘,Cheonggu,青丘,チョング
신금호,新金湖,Singeumho,新金湖,シングムホ
행당,杏堂,Haengdang,杏堂,ヘンダン
왕십리(성동구청),往十里(城東區廳),Wangsimni(Seongdong-gu Office),往十里(城东区厅),ワンシムニ(ソンドン区庁)
마장,馬場,Majang,马场,マジャン
답십리,踏十里,Dapsimni,踏十里,タプシムニ
장한평,長漢坪,Janghanpyeong,长汉坪,チャンハンピョン
군자(능동),君子(陵洞),Gunja(Neung-dong),君子(陵洞),クンジャ
아차산(어린이대공원후문),峨嵯山(어린이大公園後門),Achasan(Rear Entrance to Seoul Children's Grand Park),峨嵯山(儿童大公园后门),アチャサン
광나루(장신대),광나루(長神大),Gwangnaru(Presbyterian University & Theological Seminary),广渡口(长神大学),クァンナル
천호(풍납토성),千戶(風納土城),Cheonho(Pungnaptoseong),千戶(风纳土城),チョンホ
강동,江東,Gangdong,江东,カンドン
길동,吉洞,Gil-dong,吉洞,キルトン
굽은다리(강동구민회관앞),굽은다리(江東區民會館앞),Gubeundari(Gangdong Community Center ),曲桥(江东区民会馆),クブンダリ
명일,明逸,Myeongil,明逸,ミョンイル
고덕,高德,Godeok,高德,コドク
상일동,上一洞,Sangil-dong,上一洞,サンイルトン
둔촌동,遁村洞,Dunchon-dong,遁村洞,トゥンチョンドン
올림픽공원(한국체대),올림픽公園(韓國體大),Olympic Park(Korea National Sport University),奥林匹克公园(韩国体育大学),オリンピックゴンウォン
방이,芳荑,Bangi,芳荑,パンイ
오금,梧琴,Ogeum,梧琴,オグム
개롱,開籠,Gaerong,开笼,ケロン
거여,巨余,Geoyeo,巨余,コヨ
마천,馬川,Macheon,马川,マチョン
응암,鷹岩,Eungam,鹰岩,ウンアム
역촌,驛村,Yeokchon,驿村,ヨクチョン
불광,佛光,Bulgwang,佛光,プルグァン
독바위,독바위,Dokbawi,瓮岩,トッパウィ
연신내,연신내,Yeonsinnae,延新川,ヨンシンネ
구산,龜山,Gusan,龟山,クサン
새절(신사),새절(新寺),Saejeol(Sinsa),赛折(新寺),セジョル
증산(명지대앞),繒山(明知大앞),Jeungsan(Myongji Univ.),缯山(明知大学),チュンサン
디지털미디어시티,-,Digital Media City,数码媒体城,デジタルメディアシティ
월드컵경기장(성산),월드컵競技場(城山),World Cup Stadium(Seongsan),世界杯体育场(城山),ワールドカップ・キョンギジャン
마포구청,麻浦區廳,Mapo-gu Office,麻浦区厅,マポグチョン
망원,望遠,Mangwon,望远,マンウォン
합정,合井,Hapjeong,合井,ハプチョン
상수,上水,Sangsu,上水,サンス
광흥창(서강),廣興倉(西江),Gwangheungchang(Seogang),广兴仓(西江),クァンフンチャン
대흥(서강대앞),大興(西江大앞),Daeheung(Sogang Univ.),大兴(西江大学),テフン
공덕,孔德,Gongdeok,孔德,コンドク
효창공원앞,孝昌公園앞,Hyochang Park ,孝昌公园,ヒョチャンゴンウォンアプ
삼각지,三角地,Samgakji,三角地,サムガクチ
녹사평(용산구청),綠莎坪(龍山區廳),Noksapyeong(Yongsan-gu Office),绿莎坪(龙山区厅),ノッサピョン
이태원,梨泰院,Itaewon,梨泰院,イテウォン
한강진,漢江鎭,Hangangjin,汉江镇,ハンガンジン
버티고개,버티고개,Beotigogae,波堤岭,ポティゴゲ
약수,藥水,Yaksu,药水,ヤッス
청구,靑丘,Cheonggu,青丘,チョング
신당,新堂,Sindang,新堂,シンダン
동묘앞,東廟앞,Dongmyo,东庙,トンミョアプ
창신,昌信,Changsin,昌信,チャンシン
보문,普門,Bomun,普门,ポムン
안암(고대병원앞),安岩(高大病院앞),Anam(Korea Univ. Hospital),安岩(高丽大学医院),アナム
고려대(종암),高麗大(鍾岩),Korea Univ.(Jongam),高丽大学(钟岩),コリョデ
월곡(동덕여대),月谷(同德女大),Wolgok(Dongduk Women's Univ.),月谷(同德女子大学),ウォルゴク
상월곡(한국과학기술연구원),上月谷(韓國科學技術硏究院),Sangwolgok(KIST) ,上月谷(韩国科学技术硏究院),サンウォルゴク
돌곶이,돌곶이,Dolgoji,石串,トルゴジ
석계,石溪,Seokgye,石溪,ソッケ
태릉입구,泰陵入口,Taereung,泰陵,テルンイック
화랑대 (서울여대입구),花郞臺(서울女大入口),Hwarangdae(Seoul Women's Univ.),花郞台(首尔女子大学),ファランデ
봉화산(서울의료원),烽火山(서울醫療院),Bonghwasan(Seoul Medical Center),烽火山(首尔医疗院),ボンファサン
신내,新內,Sinnae,新內,シンネ
장암,長岩,Jangam,长岩,チャンアム
도봉산,道峰山,Dobongsan,道峰山,トボンサン
수락산,水落山,Suraksan,水落山,スラッサン
마들,마들,Madeul,马得,マドゥル
노원,蘆原,Nowon,芦原,ノウォン
중계,中溪,Junggye,中溪,チュンゲ
하계,下 溪,Hagye,下溪,ハゲ
공릉(서울과학기술대),孔陵(서울産業大入口),Gongneung(Seoul National Univ. of Science & Technology),孔陵(首尔科学技术大学),コンヌン
태릉입구,泰陵入口,Taereung,泰陵,テルンイック
먹골,먹골,Meokgol,墨谷,モッコル
중화,中和,Junghwa,中和,チュンファ
상봉(시외버스터미널),上鳳(市外버스터미널),Sangbong(Intercity Bus Terminal),上凤(市外巴士客运站),サンボン  
면목,面牧,Myeonmok,面牧,ミョンモク
사가정,四佳亭,Sagajeong,四佳亭,サガジョン
용마산(용마폭포공원),龍馬山(龍馬瀑布公園),Yongmasan(Yongma Falls Park),龙马山(龙马瀑布公園),ヨンマサン(ヨンマポクポ公園)
중곡,中谷,Junggok,中谷,チュンゴク
군자(능동),君子(陵洞),Gunja(Neung-dong),君子(陵洞),クンジャ
어린이대공원(세종대),어린이大公園(世宗大),Children's Grand Park(Sejong Univ.),儿童大公园(世宗大学),オリニ・テゴンウォン
건대입구,建大入口,Konkuk Univ.,建国大学,コンデイック
뚝섬유원지,뚝섬遊園地,Ttukseom Park,纛岛游园地,トゥッソム・ユウォンジ
청담,淸潭,Cheongdam,清潭,チョンダム
강남구청,江南區廳,Gangnam-gu Office,江南区厅,カンナムグチョン
학동,鶴洞,Hak-dong,鹤洞,ハクトン
논현,論峴,Nonhyeon,论岘,ノンヒョン
반포,盤浦,Banpo,盘浦,パンポ
고속터미널,高速터미널,Express Bus Terminal,高速巴士客运站,コソクターミナル
내방,內方,Naebang,內方,ネバン
이수,梨水,Isu,梨水,イス
남성,南城,Namseong,南城,ナムソン
숭실대입구(살피재),崇實大入口(살피재),Soongsil Univ.(Salpijae),崇实大学(赛毗岭),スンシルデイック
상도,上道,Sangdo,上道,サンド
장승배기,장승배기,Jangseungbaegi,长丞拜基,チャンスンベギ
신대방삼거리,新大方삼거리,Sindaebangsamgeori,新大方丁字路口,シンデバンサムゴリ
보라매,보라매,Boramae,波拉美,ポラメ
신풍,新豊,Sinpung,新丰,シンプン
대림(구로구청),大林(九老區廳),Daerim(Guro-gu Office),大林(九老区厅),テリム
남구로,南九老,Namguro,南九老,ナムグロ
가산디지털단지,加山디지털團地,Gasan Digital Complex,加山数码园区,カサン・デジタルダンジ
철산,鐵山,Cheolsan,铁山,チョルサン
광명사거리,光明사거리,Gwangmyeongsageori,光明十字路口,クァンミョンサゴリ
천왕,天旺,Cheonwang,天旺,チョヌァン
온수(성공회대입구),溫水(聖公會大入口),Onsu(Sungkonghoe Univ.),温水(圣公会大学),オンス
까치울,-,Kkachiul,喜鹊屋,カチウル
부천종합운동장,富川綜合運動場,Bucheon Stadium,富川综合运动场,プチョン・チョンハブンドンジャン
춘의,春衣,Chunui,春衣,チュニ
신중동,新中洞,Shinjung-dong,新中洞,シンジュンドン
부천시청,富川市廳,Bucheon City Hall,富川市厅,プチョンシチョン
상동,上洞,Sang-dong,上洞,サンドン
삼산체육관,三山體育館,Samsan Gymnasium,三山体育馆,サムサン・チェユックァン
굴포천,掘浦川,Gulpocheon,掘浦川,クルポチョン
부평구청,富平區廳,Bupyeong-gu Office,富平区厅,プピョングチョン
암사,岩寺,Amsa,岩寺,アムサ
천호(풍납토성),千戶(風納土城),Cheonho(Pungnaptoseong),千戶(风纳土城),チョンホ
강동구청,江東區廳,Gangdong-gu Office,江东区厅,カンドングチョン
몽촌토성(평화의문),夢村土城(平和의門),Mongchontoseong(World Peace Gate),梦村土城(和平之门),モンチョントソン
잠실(송파구청),蠶室(松坡區廳),Jamsil(Songpa-gu Office),蚕室(松坡区厅),チャムシル
석촌,石村,Seokchon,石村,ソクチョン
송파,松坡,Songpa,松坡,ソンパ
가락시장,可樂市場,Garak Market,可乐市场,カラク・シジャン
문정,文井,Munjeong,文井,ムンジョン
장지,長旨,Jangji,长旨,チャンジ
복정,福井,Bokjeong,福井,ポクチョン
산성,山城,Sanseong,山城,サンソン
남한산성입구(성남법원•검찰청),南漢山城入口(城南法院檢察廳) ,Namhansanseong(Seongnam Court & Prosecutors' Office),南汉山城(城南法院·检察厅),ナムハンサンソンイック
단대오거리,丹垈오거리,Dandaeogeori,丹垈五岔路口,タンデオゴリ
신흥,新興,Sinheung,新兴,シンフン
수진,壽進,Sujin,寿进,スジン
모란,牡丹,Moran,牡丹,モラン
언주,彦州,Eonju,彦州,オンジュ
선정릉,宣靖陵,Seonjeongneung,宣靖陵,ソンジョンヌン
삼성중앙,三成中央,Samseong Jungang ,三成中央,サムソン・チュンアン
봉은사,奉恩寺,Bongeunsa ,奉恩寺,ポンウンサ
종합운동장,綜合運動場,Sports Complex,综合运动场,チョンハブンドンジャン
삼전,三田,Samjeon,三田,サムジョン
석촌고분,石村古墳,Seokchon Gobun,石村古坟,ソクチョンコブン
석촌,石村,Seokchon,石村,ソクチョン
송파나루,松坡나루,Songpanaru,松坡渡口,ソンパナル
한성백제,漢城百済,Hanseong Baekje,汉城百济,ハンソンベクチェ
올림픽공원(한국체대),올림픽公園(韓國體大),Olympic Park(Korea National Sport University),奥林匹克公园(韩国体育大学),オリンピックゴンウォン
둔촌오륜,遁村五輪,Dunchon Oryun,遁村五轮,トゥンチョノリュン
중앙보훈병원,中央報勲病院,VHS Medical Center,中央报勋医院,チュンアンボフンビョンウォン
